election_type,election_date,vote_share,seats,seats_total,party_name_english,left_right,left-right-text,year
ep,6/13/04,2.56,0,78,Workers' Struggle,0,Far Left,2004
ep,6/13/04,,0,78,Revolutionary Communist League,0.0714,Far Left,2004
ep,6/13/04,0.64,1,78,Alliance of the Overseas,1.2,Far Left,2004
ep,6/13/04,5.25,2,78,French Communist Party,1.3741,Far Left,2004
ep,6/13/04,1.55,0,78,other ecologists,2.5,Far Left,2004
ep,6/13/04,7.5,6,78,Greens,3.155,Left,2004
ep,6/13/04,28.9,31,78,Socialist Party,3.2493,Left,2004
ep,6/13/04,11.9,11,78,Union for French Democracy,6.1017,Right,2004
ep,6/13/04,1.7,0,78,Rally for France,7.4,Right,2004
ep,6/13/04,16.6,17,78,Union for a Popular Movement,7.4997,Right,2004
ep,6/13/04,1.7,0,78,"Hunting, Fishing, Nature, Tradition",7.8,Far Right,2004
ep,6/13/04,8.8,3,78,Movement for France,8.1721,Far Right,2004
ep,6/13/04,9.8,7,78,National Front,9.6854,Far Right,2004
ep,6/7/09,1.2,0,72,Workers' Struggle,0,Far Left,2009
ep,6/7/09,4.88,0,72,Revolutionary Communist League,0.0714,Far Left,2009
ep,6/7/09,0.46,1,72,Alliance of the Overseas,1.2,Far Left,2009
ep,6/7/09,6.05,4,72,French Communist Party,1.3741,Far Left,2009
ep,6/7/09,3.63,0,72,other ecologists,2.5,Far Left,2009
ep,6/7/09,16.28,14,72,Greens,3.155,Left,2009
ep,6/7/09,16.48,14,72,Socialist Party,3.2493,Left,2009
ep,6/7/09,8.46,6,72,Democratic Movement,6,Right,2009
ep,6/7/09,1.77,,72,Arise the Republic,7.4,Right,2009
ep,6/7/09,27.88,29,72,Union for a Popular Movement,7.4997,Right,2009
ep,6/7/09,4.8,1,72,"Hunting, Fishing, Nature, Tradition",7.8,Far Right,2009
ep,6/7/09,6.34,3,72,National Front,9.6854,Far Right,2009
ep,5/24/14,1.17,0,74,Workers' Struggle,0,Far Left,2014
ep,5/24/14,0.27,1,74,Alliance of the Overseas,1.2,Far Left,2014
ep,5/24/14,6.33,3,74,French Communist Party,1.3741,Far Left,2014
ep,5/24/14,1.12,0,74,other ecologists,2.5,Far Left,2014
ep,5/24/14,8.95,6,74,Greens,3.155,Left,2014
ep,5/24/14,13.98,12,74,Socialist Party,3.2493,Left,2014
ep,5/24/14,2.9,0,74,other left,3.3,Left,2014
ep,5/24/14,,1,74,Radical Party,3.9896,Left,2014
ep,5/24/14,,1,74,Radical Party of the Left,4.0813,Left,2014
ep,5/24/14,9.94,4,74,Democratic Movement,6,Right,2014
ep,5/24/14,,1,74,Centrist Alliance,6,Right,2014
ep,5/24/14,,1,74,New Centre,6,Right,2014
ep,5/24/14,3.82,0,74,Arise the Republic,7.4,Right,2014
ep,5/24/14,20.81,20,74,Union for a Popular Movement,7.4997,Right,2014
ep,5/24/14,1.41,0,74,other right,7.6583,Far Right,2014
ep,5/24/14,24.86,24,74,National Front,9.6854,Far Right,2014